ParentSKU;	SKU;	ColorName;	InternetName;	InternetTxt;	Q1;	Q2;	Q3;	Q4;	Q5;	Q6;	P1;	P2;	P3;	P4;	P5;	P6;	GrossNett;	ImprintType_IL1_T1;	ImprintDescription_IL1_T1;	ImprintImage_IL1_T1;	PriceClass_IL1_T1;	PriceClass_IL1_CN;	SetupFee_IL1_T1;	SetupFee_IL1_T1_NextColor;	SetupFeeStructure_IL1_T1;	ExcludeFreeSetupCosts_IL1_T1;	ImprintSize_IL1_T1;	MaxColors_IL1_T1;	Handling_IL1_T1;	ImprintType_IL1_T2;	ImprintDescription_IL1_T2;	ImprintImage_IL1_T2;	PriceClass_IL1_T2;	PriceClass_IL1_CN2;	SetupFee_IL1_T2;	SetupFee_IL1_T2_NextColor;	SetupFeeStructure_IL1_T2;	ExcludeFreeSetupCosts_IL1_T2;	ImprintSize_IL1_T2;	MaxColors_IL1_T2;	Handling_IL1_T2	ImprintType_IL1_T3;	ImprintDescription_IL1_T3;	ImprintImage_IL1_T3	PriceClass_IL1_T3;	PriceClass_IL1_CN3;	SetupFee_IL1_T3;	SetupFee_IL1_T3_NextColor;	SetupFeeStructure_IL1_T3;	ExcludeFreeSetupCosts_IL1_T3;	ImprintSize_IL1_T3;	MaxColors_IL1_T3;	Handling_IL1_T3;	ImprintType_IL1_T4;	ImprintDescription_IL1_T4;	ImprintImage_IL1_T4;	PriceClass_IL1_T4;	PriceClass_IL1_CN4;	SetupFee_IL1_T4;	SetupFee_IL1_T4_NextColor;	SetupFeeStructure_IL1_T4;	ExcludeFreeSetupCosts_IL1_T4;	ImprintSize_IL1_T4;	MaxColors_IL1_T4;	Handling_IL1_T4	ImprintType_IL1_T5;	ImprintDescription_IL1_T5;	ImprintImage_IL1_T5	PriceClass_IL1_T5;	PriceClass_IL1_CN5;	SetupFee_IL1_T5;	SetupFee_IL1_T5_NextColor;	SetupFeeStructure_IL1_T5;	ExcludeFreeSetupCosts_IL1_T5;	ImprintSize_IL1_T5;	MaxColors_IL1_T5;	Handling_IL1_T5	ImprintType_IL1_T6;	ImprintDescription_IL1_T6;	ImprintImage_IL1_T6;	PriceClass_IL1_T6;	PriceClass_IL1_CN6;	SetupFee_IL1_T6;	SetupFee_IL1_T6_NextColor;	SetupFeeStructure_IL1_T6;	ExcludeFreeSetupCosts_IL1_T6;	ImprintSize_IL1_T6;	MaxColors_IL1_T6;	Handling_IL1_T6;	IntraCode;	CountryOfOrigin;	OuterCartonPieces;	OuterCartonLength;	OuterCartonWidth;	OuterCartonHeight;	CommercialItemLength;	CommercialItemWidth;	CommercialItemHeight;	CommercialItemWeight;	Flavours;	Sizes;	WritingColor;	CapacityTxt;	OrderUnit;	MainGroup;	Material;	BatteryType;	NumberOfBatteries;	ProductImageURL;	DeliveryTimeMT_IL1_T1;	07_12_SearchTerms;	Q_OnPallet;	Brandnames;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLAUS ;CX1304-99;multicolour;;Juomapullot & Termokset;500;1000;2500;;250;500;20,18;19,03;18,45;19,25;17,96;16,72;;FRONT;Tamponprint;;P6;;38,02;;;;35x50 cm;;;FRONT;Keramisk transfer;;TC;;68,45;;;;35x50 cm;;;BOX;Digitalt klistermærke;;DL;;38,02;;;;80x80 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Juomapullot & Termokset;;;;;;;;
ROUGE ;CX1335-05;red;;;500;1000;2500;;250;500;4,16;3,93;3,81;3,97;3,70;3,44;;FRONT POUCH;Digitalt klistermærke;;DL;;38,02;;;;70x70 cm;;;FRONT POUCH;Serigrafi;;S4;;38,02;;;;70x70 cm;;;BACK POUCH;Digitalt klistermærke;;DL;;38,02;;;;70x70 cm;;;BACK POUCH;Serigrafi;;S4;;38,02;;;;70x70 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HELSINBORG ;CX1349-99;multicolour;;;500;1000;2500;;250;500;9,42;8,88;8,61;8,99;8,38;7,80;;FRONT;Digitalt klistermærke;;DL;;38,02;;;;45x80 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AALBORG ;CX1360-05;red;;;50;125;250;;100;250;34,20;32,25;31,27;32,62;30,45;28,34;;LABEL;Digitalt klistermærke;;DL;;38,02;;;;40x40 cm;;;LABEL;Tamponprint;;P3;;38,02;;;;40x40 cm;;;SOCK;Broderi;;E;;76,05;;;;50x50 cm;;;SOCK;Skærmtransfer;;T1;;38,02;;;;50x50 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUMISTAR ;CX1361-06;white;;;500;1000;2500;;250;500;13,57;12,80;12,41;12,94;12,09;11,25;;FRONT;Tamponprint;;P3;;38,02;;;;15x35 cm;;;BACK;Tamponprint;;P3;;38,02;;;;15x35 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUMITREE ;CX1362-06;white;;;500;1000;2500;;250;500;13,57;12,80;12,41;12,94;12,09;11,25;;FRONT;Tamponprint;;P3;;38,02;;;;40x15 cm;;;BACK;Tamponprint;;P3;;38,02;;;;40x15 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STARIO ;CX1370-16;matt silver;;;500;1000;2500;;250;500;7,52;7,09;6,87;7,17;6,70;6,23;;FRONT BOX;Digitalt klistermærke;;DL;;38,02;;;;30x60 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WOOSTAR ;CX1373-40;wood;;;500;1000;2500;;250;500;3,59;3,39;3,29;3,43;3,20;2,98;;FRONT;lasergravering;;L4;;23,4;;;;40x40 cm;;;FRONT;Tamponprint;;P4;;38,02;;;;40x40 cm;;;FRONT;Serigrafi;;S3;;38,02;;;;40x40 cm;;;BACK;Tamponprint;;P4;;38,02;;;;40x40 cm;;;BACK;Serigrafi;;S3;;38,02;;;;40x40 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOSSA SMALL ;CX1413-05;red;;;500;1000;2500;;250;500;4,37;4,12;4,00;4,16;3,89;3,62;;FRONT TOP PART;Serigrafi;;S2;;38,02;;;;30x50 cm;;;BACK TOP PART;Serigrafi;;S2;;38,02;;;;30x50 cm;;;BACK CARD;Digitalt klistermærke;;DL;;38,02;;;;45x50 cm;;;BACK CARD;Tamponprint;;P3;;38,02;;;;45x50 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOSSA MEDIUM ;CX1414-05;red;;;500;1000;2500;;250;500;6,27;5,92;5,74;5,99;5,59;5,20;;FRONT TOP PART;Serigrafi;;S2;;38,02;;;;40x95 cm;;;BACK TOP PART;Serigrafi;;S2;;38,02;;;;40x95 cm;;;BACK CARD;Digitalt klistermærke;;DL;;38,02;;;;50x35 cm;;;BACK CARD;Tamponprint;;P3;;38,02;;;;50x35 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
